TeamID,FGM,FGA,FGM2,FGA2,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,FGMA,FGAA,FGM2A,FGA2A,FGM3A,FGA3A,FTMA,FTAA,ORA,DRA,AstA,TOA,StlA,BlkA,PFA,IMS,SEL
1113,22.81,49.0,15.74,29.16,7.06,19.84,14.58,19.68,8.13,22.1,14.42,12.77,7.19,3.1,16.19,21.16,51.35,13.55,29.65,7.61,21.71,12.39,16.94,10.32,20.35,13.52,13.81,5.55,2.61,17.65,52.25,44.25
1114,21.24,50.24,15.93,34.86,5.31,15.38,16.31,24.55,11.83,23.83,12.41,16.52,6.41,3.21,20.83,20.86,50.66,15.48,32.52,5.38,18.14,16.0,22.79,9.72,21.52,11.17,15.48,6.03,3.59,21.59,136.41666666666666,138.75
1115,21.72,55.1,16.48,38.24,5.24,16.86,10.28,16.59,10.79,23.83,10.83,13.93,5.21,4.86,17.97,22.07,53.83,16.66,37.21,5.41,16.62,14.66,21.03,10.76,25.9,10.48,12.69,7.17,3.48,17.45,266.4166666666667,296.25
1116,26.73,57.39,20.85,40.06,5.88,17.33,14.3,21.27,12.82,23.94,14.55,15.45,7.0,5.3,18.97,23.21,55.7,16.85,36.3,6.36,19.39,14.24,20.33,10.97,21.3,12.15,15.15,6.76,3.94,18.91,38.75,39.5
1117,24.64,54.75,17.71,37.46,6.93,17.29,12.54,17.39,10.32,19.36,11.96,13.86,6.18,2.07,17.96,25.86,52.61,17.68,33.21,8.18,19.39,14.86,20.96,10.5,22.46,11.39,14.54,6.46,3.18,17.32,253.33333333333334,252.5
1119,21.97,50.7,17.23,35.57,4.73,15.13,10.33,15.2,8.6,21.23,13.87,15.93,8.63,2.03,19.6,19.97,48.4,12.63,27.2,7.33,21.2,14.8,21.0,10.47,22.57,11.97,17.5,6.87,3.03,16.6,213.41666666666666,243.0
1120,25.9,56.6,18.27,34.13,7.63,22.47,11.93,17.83,10.8,21.57,15.1,13.6,8.63,2.47,16.37,26.8,55.73,18.23,32.93,8.57,22.8,10.6,15.63,10.37,23.07,15.07,15.1,5.8,3.63,16.7,130.75,123.25
1122,24.65,54.65,16.79,34.29,7.85,20.35,17.44,24.41,10.12,21.41,14.44,12.74,9.74,2.18,17.56,25.18,53.94,17.18,32.38,8.0,21.56,12.32,17.65,10.21,23.71,15.24,16.85,6.88,3.29,21.03,122.75,149.5
1123,20.77,51.9,16.6,38.0,4.17,13.9,12.07,18.47,10.23,20.97,10.37,12.17,6.2,1.67,17.17,22.43,49.97,15.27,31.43,7.17,18.53,11.9,16.8,9.3,24.13,12.6,14.07,5.17,3.27,18.27,292.0,285.25
1124,27.9,61.6,19.47,39.2,8.43,22.4,16.5,22.27,11.73,25.6,11.93,12.6,7.37,4.4,20.9,25.7,60.0,19.47,42.03,6.23,17.97,16.83,23.97,12.37,25.17,12.17,14.23,5.23,3.8,19.8,44.666666666666664,29.0
1125,27.19,60.88,16.72,32.03,10.47,28.84,14.47,20.72,12.56,24.16,17.09,14.91,8.44,1.84,18.56,26.5,57.56,19.62,37.81,6.88,19.75,14.41,20.5,10.53,24.62,14.16,16.38,7.47,3.28,18.22,126.16666666666667,162.25
1126,20.07,45.45,16.1,33.62,3.97,11.83,13.03,19.07,9.07,19.24,10.03,15.45,6.83,2.31,17.59,21.72,49.55,16.41,33.03,5.31,16.52,12.86,19.24,12.14,19.62,11.62,14.24,6.79,2.79,16.86,278.25,295.75
1127,23.8,54.87,18.1,37.87,5.7,17.0,12.57,17.17,11.7,20.73,11.97,13.6,7.2,2.57,19.43,23.3,51.93,17.6,35.13,5.7,16.8,14.4,20.77,11.2,21.93,13.03,14.37,6.8,3.1,17.13,232.41666666666666,257.0
1129,28.84,57.44,20.72,36.91,8.12,20.53,15.41,23.12,9.94,26.12,17.47,15.69,6.09,2.38,17.75,27.31,61.56,20.53,42.0,6.78,19.56,14.69,20.66,10.97,22.72,13.53,14.47,6.19,3.0,20.69,100.58333333333333,144.5
1130,25.03,54.97,19.1,38.48,5.94,16.48,15.06,21.84,11.84,23.71,14.77,15.45,5.97,6.0,16.74,27.1,61.19,20.65,42.55,6.45,18.65,11.71,17.61,13.16,21.65,14.45,12.29,8.13,4.29,18.87,99.5,47.75
1131,21.77,54.03,14.29,31.48,7.48,22.55,12.0,17.68,10.84,21.61,13.16,14.06,7.06,2.48,20.06,21.94,49.9,15.71,31.03,6.23,18.87,14.71,20.97,10.06,24.03,12.48,14.55,6.94,4.0,18.19,252.58333333333334,276.5
1132,23.2,52.77,18.23,37.07,4.97,15.7,12.1,18.47,11.2,23.07,12.53,15.07,5.53,5.03,18.3,23.17,56.17,17.03,36.8,6.13,19.37,15.47,21.37,13.17,21.73,12.2,12.27,7.73,3.47,16.67,204.5,196.75
1133,24.5,55.69,15.28,31.34,9.22,24.34,15.06,20.22,10.88,22.78,15.81,14.72,7.72,2.47,19.75,24.94,55.56,18.62,37.75,6.31,17.81,15.12,21.16,10.91,23.38,13.28,14.97,6.12,3.0,18.62,118.58333333333333,107.75
1135,22.18,46.79,14.64,28.04,7.54,18.75,16.79,22.39,6.82,22.64,14.07,13.11,7.0,2.5,15.39,23.68,53.68,16.39,33.36,7.29,20.32,9.68,13.68,9.71,21.18,13.86,13.0,5.79,2.89,20.29,119.75,138.25
1137,21.35,50.29,14.52,30.29,6.84,20.0,12.55,18.55,9.65,22.52,12.74,16.19,6.26,2.71,20.06,21.84,52.26,15.26,31.84,6.58,20.42,15.0,21.23,11.06,22.68,11.9,14.23,7.84,2.68,18.42,226.66666666666666,219.5
1138,26.03,63.21,20.31,45.41,5.72,17.79,13.14,19.38,15.1,23.28,13.45,16.45,7.86,2.79,22.69,24.76,55.34,18.79,37.69,5.97,17.66,19.31,27.45,11.93,25.17,12.79,16.41,8.07,4.86,18.24,252.25,195.25
1139,22.72,50.47,13.5,25.94,9.22,24.53,13.69,18.56,8.94,20.72,13.0,10.25,6.28,2.53,16.94,21.19,49.34,16.22,33.88,4.97,15.47,10.41,15.41,9.59,21.16,9.66,13.84,4.72,2.38,18.03,14.0,14.75
1140,25.94,56.32,17.76,34.5,8.18,21.82,14.0,21.26,10.5,28.5,16.88,14.26,5.91,3.91,17.74,22.56,58.5,17.41,41.06,5.15,17.44,12.85,18.06,10.41,23.79,10.26,13.65,6.94,2.12,19.38,40.416666666666664,55.5
1141,24.17,56.31,17.1,35.34,7.07,20.97,14.86,21.83,12.59,20.03,9.69,15.9,7.9,2.86,24.83,23.48,50.34,18.66,36.66,4.83,13.69,21.83,30.48,11.28,23.31,11.66,17.31,7.24,3.55,20.52,199.66666666666666,182.0
1142,22.48,55.48,16.45,34.48,6.03,21.0,12.1,18.34,10.45,22.38,11.24,13.45,6.83,2.97,17.17,23.9,53.24,16.48,34.0,7.41,19.24,14.69,20.21,9.86,25.93,15.34,14.41,6.55,2.28,17.28,242.0,207.5
1143,27.1,58.06,20.32,39.39,6.77,18.68,16.35,20.97,11.39,24.68,15.13,13.35,4.03,2.55,17.9,26.65,59.61,18.16,35.87,8.48,23.74,13.68,19.74,11.35,21.45,15.19,11.9,5.87,3.23,18.29,75.0,49.25
1144,23.93,56.48,17.45,37.69,6.48,18.79,16.97,24.24,12.9,23.62,15.17,16.76,7.31,2.79,20.48,25.93,56.93,17.66,34.69,8.28,22.24,15.38,23.45,11.76,23.66,16.66,16.03,8.07,5.34,20.38,285.3333333333333,281.25
1145,22.19,55.77,14.65,33.26,7.55,22.52,10.1,15.55,12.45,22.35,11.77,16.26,5.77,4.19,20.0,25.03,56.97,17.94,37.06,7.1,19.9,16.03,23.19,13.29,23.87,14.71,12.29,8.16,3.42,15.45,322.3333333333333,324.5
1146,21.69,56.42,16.04,37.73,5.65,18.69,16.15,23.19,12.58,25.0,8.81,15.46,6.58,4.62,19.5,24.19,57.08,17.65,39.27,6.54,17.81,14.81,22.38,12.27,25.85,13.65,14.23,6.42,4.69,20.04,225.33333333333334,273.25
1147,23.53,54.73,16.67,36.5,6.87,18.23,14.83,20.77,9.4,20.8,12.57,15.43,7.53,2.73,21.67,26.2,54.87,19.7,37.0,6.5,17.87,18.23,25.6,11.6,24.77,15.23,15.57,7.97,3.9,19.67,258.75,203.25
1148,25.6,56.27,18.57,36.37,7.03,19.9,11.6,16.43,12.17,22.87,14.93,14.6,5.43,3.13,14.17,26.17,58.27,18.6,37.73,7.57,20.53,8.57,13.0,11.73,21.23,13.43,13.43,8.03,3.83,16.7,223.58333333333334,261.75
1149,25.46,61.23,16.15,35.92,9.31,25.31,10.69,16.04,11.88,23.77,12.92,14.69,5.38,2.0,19.35,29.04,60.77,20.88,37.42,8.15,23.35,14.46,21.73,11.88,26.81,17.08,12.35,7.65,3.81,15.92,308.3333333333333,317.75
1150,23.0,57.03,15.0,34.09,8.0,22.94,16.24,24.03,12.76,23.33,12.85,14.33,7.94,3.48,20.24,22.48,53.36,15.33,32.42,7.15,20.94,15.27,21.94,11.48,25.33,12.7,16.94,6.48,4.3,21.58,88.58333333333333,101.5
1151,24.76,54.97,17.55,33.03,7.21,21.93,16.9,25.69,12.24,27.41,14.1,18.21,6.34,2.48,18.03,25.41,60.83,15.41,31.97,10.0,28.86,12.9,17.86,11.07,22.62,16.14,14.59,8.55,3.14,22.62,126.16666666666667,121.0
1152,25.84,59.32,18.32,37.68,7.52,21.64,11.96,17.64,11.48,22.08,13.36,16.44,7.56,4.12,19.4,28.4,60.76,20.56,41.32,7.84,19.44,15.64,22.2,13.72,25.0,16.8,14.96,7.6,3.8,17.52,263.3333333333333,242.5
1153,22.94,55.87,16.52,36.06,6.42,19.81,12.23,18.32,12.65,23.87,12.65,13.71,5.29,2.29,20.29,22.52,52.42,15.97,32.9,6.55,19.52,16.1,23.84,10.0,23.35,12.55,11.9,5.9,2.84,17.26,117.91666666666667,135.75
1154,21.73,54.77,12.35,30.12,9.38,24.65,7.0,10.35,8.19,19.27,11.42,12.65,5.54,1.15,16.35,27.85,54.31,20.19,35.15,7.65,19.15,12.35,17.31,10.42,26.58,17.04,12.81,6.46,3.96,14.15,308.5,318.5
1155,29.5,64.38,21.5,43.31,8.0,21.06,12.19,19.56,15.66,22.59,15.81,14.75,9.81,5.59,19.22,25.41,58.31,20.44,41.66,4.97,16.66,13.72,19.28,13.09,23.25,12.41,17.81,6.72,3.66,17.91,28.166666666666668,26.25
1156,23.42,53.81,18.94,39.16,4.48,14.65,14.81,21.13,11.45,22.94,11.84,14.19,7.16,3.45,20.1,21.65,51.35,16.29,34.68,5.35,16.68,15.45,22.03,10.23,21.68,11.81,14.39,6.16,3.55,18.97,96.08333333333333,83.75
1157,23.8,55.72,15.6,32.96,8.2,22.76,11.12,16.48,10.36,23.64,14.48,13.0,5.56,1.92,16.0,26.2,58.44,17.32,34.52,8.88,23.92,11.2,16.04,11.68,24.64,14.8,11.72,6.28,3.16,16.8,239.08333333333334,247.75
1158,26.73,58.3,18.79,36.03,7.94,22.27,11.06,15.91,10.7,24.91,12.58,14.03,5.82,3.85,15.06,27.06,61.09,20.39,42.0,6.67,19.09,11.58,16.24,12.15,23.85,14.03,12.21,7.67,3.0,15.94,185.16666666666666,167.75
1159,22.94,51.84,17.03,36.38,5.91,15.47,13.69,19.66,10.66,23.31,11.38,16.22,6.56,3.81,17.56,22.72,55.34,16.22,36.03,6.5,19.31,12.94,19.62,12.69,21.16,11.53,14.78,7.25,2.59,18.75,187.5,197.25
1160,22.1,49.42,16.19,32.06,5.9,17.35,11.81,17.29,8.1,21.61,13.16,13.39,6.26,4.32,17.48,23.1,52.68,16.81,34.97,6.29,17.71,12.13,17.68,10.9,22.39,13.35,12.81,5.42,2.87,17.74,152.83333333333334,146.5
1161,22.73,53.0,16.8,35.0,5.93,18.0,11.03,15.13,8.63,22.0,11.4,13.5,4.33,3.1,18.67,25.6,56.43,18.3,36.37,7.3,20.07,13.97,19.5,11.63,23.7,15.13,10.73,5.6,3.57,15.77,263.0833333333333,229.0
1162,21.32,50.64,14.57,30.21,6.75,20.43,12.64,17.46,9.07,22.64,13.18,13.86,4.39,1.54,20.54,21.5,50.54,15.5,31.07,6.0,19.46,15.14,20.64,9.5,22.57,11.57,12.14,6.0,2.82,18.18,211.91666666666666,245.5
1163,26.34,56.94,21.19,42.59,5.16,14.34,19.88,27.66,13.53,28.38,14.81,13.59,5.75,8.78,15.22,25.25,65.78,17.81,44.44,7.44,21.34,10.69,15.69,14.81,20.91,13.31,12.22,7.56,3.5,21.78,26.416666666666668,42.25
1164,20.59,52.24,16.5,39.59,4.09,12.65,13.88,19.35,11.09,20.21,9.41,14.62,7.03,2.06,18.79,22.91,52.03,15.97,32.32,6.94,19.71,13.35,20.47,12.65,23.53,13.85,16.41,6.85,4.47,18.44,289.75,302.25
1165,27.12,55.35,19.19,35.92,7.92,19.42,14.46,18.96,8.92,24.69,14.88,13.92,5.92,2.88,18.42,24.08,56.65,17.15,37.54,6.92,19.12,13.92,19.96,11.0,22.0,13.15,14.31,6.54,2.65,19.42,110.83333333333333,143.25
1166,25.0,55.39,16.68,32.87,8.32,22.52,13.68,19.03,11.29,23.26,14.77,14.03,7.52,3.61,18.52,22.13,53.16,15.48,34.52,6.65,18.65,14.32,19.74,10.77,22.06,11.97,15.68,6.06,2.74,19.0,56.166666666666664,49.0
1167,23.69,58.41,17.1,39.62,6.59,18.79,12.55,18.48,12.93,20.79,11.76,13.66,6.03,1.83,16.41,27.52,56.69,20.0,36.34,7.52,20.34,12.52,18.0,11.07,24.86,16.1,14.21,6.76,2.79,16.17,313.4166666666667,300.0
1168,29.74,62.45,21.13,40.1,8.61,22.35,14.39,20.39,12.0,23.87,15.42,13.42,8.84,1.45,18.87,26.61,57.1,19.42,37.94,7.19,19.16,12.48,18.58,10.03,24.26,15.03,17.29,5.9,2.48,16.81,116.33333333333333,122.0
1169,28.03,61.0,20.38,40.48,7.66,20.52,13.72,19.86,11.55,25.14,15.03,16.14,9.0,3.14,22.76,23.38,55.17,17.34,35.55,6.03,19.62,19.03,28.17,11.59,24.79,13.07,18.41,7.72,2.52,18.45,104.0,86.5
1170,22.73,58.04,16.92,40.0,5.81,18.04,11.38,18.73,11.58,18.5,11.42,14.65,8.65,2.62,19.92,27.5,54.15,20.27,35.23,7.23,18.92,15.88,23.04,11.54,27.58,17.92,16.58,7.08,5.0,17.04,330.5,326.75
1171,23.85,56.56,19.59,43.04,4.26,13.52,10.3,15.41,10.96,21.07,11.93,14.26,7.33,3.11,19.33,24.89,52.0,20.0,37.85,4.89,14.15,15.0,21.56,10.11,24.63,12.63,14.63,7.59,3.3,16.89,286.0833333333333,294.5
1172,28.65,60.74,19.87,36.42,8.77,24.32,11.26,15.45,11.23,24.87,16.77,12.19,7.97,3.29,18.16,21.9,52.23,15.19,32.77,6.71,19.45,12.61,19.68,9.45,23.26,11.39,16.58,5.52,2.45,17.16,63.666666666666664,111.75
1173,24.39,51.84,18.35,35.77,6.03,16.06,14.0,21.9,11.48,23.0,11.81,12.87,5.0,2.55,18.03,22.16,51.35,13.97,28.87,8.19,22.48,12.16,17.1,9.06,20.55,12.68,13.19,4.77,3.26,19.39,37.083333333333336,23.5
1174,21.32,52.68,15.42,33.9,5.9,18.77,14.55,21.19,9.61,21.58,11.9,13.9,6.68,3.0,18.68,24.42,54.55,19.48,39.65,4.94,14.9,12.71,19.26,11.9,25.26,11.71,14.94,6.55,3.19,19.97,193.33333333333334,199.5
1175,21.04,50.36,14.46,31.04,6.57,19.32,9.29,13.0,9.86,16.64,11.11,11.11,5.21,1.71,15.86,22.61,46.54,17.18,31.04,5.43,15.5,11.5,16.79,9.61,21.18,12.29,12.75,5.14,2.57,14.21,237.08333333333334,274.25
1176,18.86,41.0,12.59,22.9,6.28,18.1,11.93,15.62,5.38,18.28,12.55,14.59,6.41,3.38,17.69,21.31,46.24,16.86,33.45,4.45,12.79,12.79,18.69,9.86,18.79,10.48,13.14,6.76,2.41,15.86,203.41666666666666,214.5
1177,26.37,60.9,18.67,39.4,7.7,21.5,12.13,18.73,12.7,21.9,13.87,12.03,7.37,2.83,15.27,27.67,59.43,19.43,39.23,8.23,20.2,12.2,16.83,12.53,25.07,17.43,13.5,6.0,3.3,17.4,156.08333333333334,120.75
1178,21.24,51.24,14.0,32.24,7.24,19.0,8.83,13.14,9.55,19.66,11.24,12.52,5.83,2.45,18.62,22.48,48.83,15.34,29.07,7.14,19.76,13.79,19.21,9.48,22.52,12.17,12.69,5.0,2.83,16.34,277.5833333333333,224.25
1179,24.37,54.83,15.23,29.9,9.13,24.93,14.4,18.83,11.83,21.9,14.43,11.43,7.17,2.4,14.57,22.8,52.87,15.77,32.07,7.03,20.8,8.4,12.53,10.73,20.53,12.97,15.2,6.0,3.1,18.43,15.5,18.0
1180,21.06,51.84,15.91,35.34,5.16,16.5,12.22,19.44,9.75,23.47,12.88,15.75,6.97,3.25,18.66,22.84,54.31,17.19,37.16,5.66,17.16,13.16,18.91,11.12,24.66,12.97,14.66,8.53,3.41,17.59,218.25,175.5
1181,28.75,61.78,19.47,37.62,9.28,24.16,17.34,24.97,12.72,24.44,15.03,13.59,8.69,4.0,19.16,25.91,59.5,21.06,44.72,4.84,14.78,12.66,19.03,12.34,24.31,12.34,18.59,5.88,4.28,22.28,6.75,6.0
1182,28.53,62.1,21.37,39.43,7.17,22.67,18.1,24.57,13.67,24.57,18.07,16.23,9.4,7.33,19.93,25.97,61.17,19.1,42.1,6.87,19.07,15.3,21.97,14.47,23.2,15.8,18.47,6.27,4.57,20.47,91.66666666666667,81.5
1183,22.46,51.25,17.0,36.71,5.46,14.54,12.04,16.5,10.04,22.0,13.32,14.43,4.75,2.0,19.04,23.0,51.89,14.82,31.18,8.18,20.71,15.0,21.43,10.39,21.25,13.82,11.68,7.61,2.89,16.61,326.9166666666667,334.25
1184,22.29,51.04,13.71,27.14,8.57,23.89,9.57,13.36,7.57,19.04,14.39,13.04,7.11,2.25,15.93,24.04,49.75,17.04,32.21,7.0,17.54,11.0,16.68,9.61,23.0,14.75,14.82,7.5,2.79,14.64,206.0,249.5
1185,21.48,50.97,13.19,27.9,8.29,23.06,15.0,20.58,11.26,21.55,12.77,14.87,5.94,2.32,18.74,23.16,52.0,16.61,33.84,6.55,18.16,14.74,21.13,11.06,21.19,12.84,13.71,7.03,3.19,19.61,223.58333333333334,204.75
1186,21.46,53.29,14.39,31.57,7.07,21.71,12.21,16.96,9.36,20.79,11.25,13.75,6.68,1.68,18.79,24.0,51.43,17.64,33.5,6.36,17.93,13.18,19.93,9.71,24.86,14.82,14.89,5.96,3.5,17.79,252.75,220.0
1187,22.0,53.3,14.15,32.81,7.85,20.48,15.11,21.74,10.96,20.67,13.89,14.19,6.07,3.81,20.3,25.41,56.15,19.48,39.78,5.93,16.37,16.44,24.04,13.67,23.67,14.63,13.26,6.41,3.48,18.81,227.75,204.25
1189,23.26,54.58,17.84,37.42,5.42,17.16,10.55,15.48,10.29,22.52,11.55,13.39,6.65,2.52,19.0,23.0,52.26,17.55,35.77,5.45,16.48,13.84,21.16,10.9,24.03,11.84,13.48,6.32,2.9,16.29,235.33333333333334,246.25
1190,27.48,60.94,20.42,40.81,7.06,20.13,15.9,22.13,12.39,24.74,12.87,16.16,8.65,3.16,21.1,26.71,61.26,17.45,34.74,9.26,26.52,15.06,23.06,14.65,24.23,15.97,17.81,6.87,3.39,19.26,163.5,148.25
1191,20.66,49.66,15.45,36.28,5.21,13.38,13.07,19.07,9.31,20.55,12.0,13.9,4.55,0.86,19.76,22.79,49.9,16.0,31.31,6.79,18.59,13.9,19.62,9.86,22.97,14.38,13.52,6.76,4.17,18.62,233.58333333333334,216.5
1192,23.54,56.18,15.46,33.46,8.07,22.71,14.89,20.89,9.93,22.79,11.68,14.07,4.96,2.96,16.21,29.57,62.93,22.18,44.71,7.39,18.21,11.64,17.79,13.75,26.25,15.93,11.93,7.25,3.46,19.0,286.5,242.75
1193,22.47,51.9,15.6,34.0,6.87,17.9,13.93,20.0,11.87,21.03,14.13,14.0,6.6,3.23,18.27,24.23,53.8,16.47,33.47,7.77,20.33,12.67,19.07,11.97,20.63,13.3,12.87,7.0,3.1,18.6,216.25,242.25
1194,23.58,51.85,17.7,36.12,5.88,15.73,18.64,27.67,10.21,24.52,12.58,16.24,5.97,2.24,21.12,25.48,57.12,17.48,34.82,8.0,22.3,15.15,21.39,10.27,22.97,13.33,14.09,6.91,3.24,21.36,237.75,251.0
1195,23.32,56.19,16.42,35.94,6.9,20.26,12.42,19.23,12.61,21.68,13.65,18.13,8.9,3.0,18.58,26.1,56.29,18.06,34.84,8.03,21.45,13.52,20.58,11.71,23.42,16.19,17.26,8.84,3.1,18.16,296.0833333333333,288.5
1196,28.56,58.62,20.97,37.5,7.59,21.12,13.41,18.91,11.97,23.84,17.28,12.59,6.0,3.19,16.09,25.5,57.19,18.94,38.56,6.56,18.62,11.03,16.59,10.75,21.47,13.59,13.34,6.84,3.03,17.94,44.833333333333336,60.75
1197,22.73,55.73,15.63,35.2,7.1,20.53,10.9,17.53,10.5,21.57,12.4,15.2,6.63,1.9,17.47,26.1,56.1,20.13,38.43,5.97,17.67,11.93,18.53,12.3,25.93,13.5,15.5,6.57,3.73,17.97,284.1666666666667,311.25
1198,22.61,51.46,18.21,38.18,4.39,13.29,13.79,20.89,10.61,23.61,12.21,18.64,5.96,3.86,21.14,23.75,53.61,17.04,36.71,6.71,16.89,15.75,23.82,10.79,21.93,12.75,14.75,8.57,3.14,19.68,269.8333333333333,253.75
1199,24.88,56.06,17.91,36.36,6.97,19.7,15.73,20.42,10.85,22.73,11.09,15.03,8.73,3.85,18.88,24.45,56.21,17.82,36.94,6.64,19.27,13.58,19.45,11.64,21.94,12.82,15.91,5.88,3.24,19.45,69.16666666666667,61.5
1200,22.39,53.07,15.54,31.79,6.86,21.29,12.79,19.14,10.61,20.93,13.32,13.07,6.32,3.46,17.79,24.43,53.36,18.93,37.86,5.5,15.5,12.82,18.18,10.86,23.71,13.25,13.39,6.75,2.57,18.82,168.33333333333334,162.25
1201,24.13,58.26,16.0,34.35,8.13,23.9,11.84,16.9,8.65,24.94,12.26,11.81,6.03,3.0,15.87,25.42,58.0,19.29,40.03,6.13,17.97,12.0,17.58,10.48,28.06,13.74,13.58,5.74,2.97,17.19,191.25,162.5
1202,21.33,53.03,13.83,30.43,7.5,22.6,11.07,15.6,8.83,22.43,12.0,14.43,5.77,2.1,16.53,26.33,56.7,19.0,36.03,7.33,20.67,11.4,16.33,10.9,25.4,15.1,12.57,7.5,4.33,16.03,309.5833333333333,314.25
1203,22.62,54.77,16.12,34.92,6.5,19.85,11.69,17.04,12.38,23.31,12.35,15.0,6.38,3.35,18.54,23.12,54.73,15.19,31.27,7.92,23.46,14.12,20.88,12.23,22.96,15.0,13.19,7.19,3.23,16.46,215.0,206.75
1204,27.2,60.5,21.2,43.13,6.0,17.37,13.77,20.77,13.87,23.1,15.2,14.1,8.97,4.0,19.87,24.63,55.77,17.83,36.6,6.8,19.17,16.0,23.0,11.37,23.47,12.93,15.73,6.33,3.27,18.53,119.41666666666667,110.5
1205,26.81,60.68,18.58,37.68,8.23,23.0,14.48,21.81,11.65,25.94,16.74,15.65,7.26,2.71,22.94,25.71,60.65,19.55,40.58,6.16,20.06,17.94,26.65,13.97,26.23,12.94,15.0,7.16,3.61,19.55,221.25,235.0
1206,24.48,52.15,18.36,34.76,6.12,17.39,14.79,21.0,9.97,24.45,13.24,11.97,5.58,3.21,15.48,22.85,54.52,16.94,36.52,5.91,18.0,10.7,14.88,9.36,20.94,11.67,11.73,5.85,2.55,18.36,67.0,60.75
1207,25.09,51.62,17.25,31.0,7.84,20.62,11.69,17.56,9.91,25.09,15.69,13.22,7.12,4.94,17.53,19.72,53.75,14.16,35.16,5.56,18.59,12.97,19.22,12.34,20.03,10.78,12.78,6.94,2.75,16.69,12.833333333333334,21.25
1208,24.56,57.78,18.59,39.66,5.97,18.12,12.78,18.94,13.66,24.81,11.53,14.75,6.72,3.44,18.06,24.44,57.19,18.28,37.22,6.16,19.97,11.94,18.69,11.62,22.75,12.75,13.0,6.69,3.97,17.28,123.91666666666667,110.25
1209,22.33,52.87,16.4,36.83,5.93,16.03,10.97,17.07,12.1,20.7,10.5,15.0,6.9,2.27,18.77,22.6,49.2,16.3,31.33,6.3,17.87,14.73,21.13,9.13,21.43,13.0,13.6,6.67,3.3,16.87,280.8333333333333,277.5
1210,27.59,58.53,20.91,40.56,6.69,17.97,15.69,22.41,11.59,22.38,15.0,15.31,8.28,3.5,22.47,25.12,55.62,18.41,35.75,6.72,19.88,19.03,27.09,12.31,22.41,13.78,16.25,7.59,3.38,20.97,99.08333333333333,94.5
