,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH
Winner_VotingClassifier_avg_5,Connecticut,S Dakota St,Morehead St,Auburn,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Mississippi St,Montana St,Tennessee,Creighton,Kansas,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,Morehead St,UAB,North Carolina,Arizona,New Mexico,Grand Canyon,Utah St,Texas,Creighton,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Washington St,North Carolina,New Mexico,McNeese St,Texas,Texas A&M,NC State,UAB,North Carolina,Texas,Texas A&M,UAB,Texas A&M,Texas A&M
StrongSeed_MLPClassifier_avg_5,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Alabama,Montana St,Tennessee,Creighton,Samford,Longwood,WKU,Kentucky,Duke,FL Atlantic,Washington St,North Carolina,Arizona,Montana St,Tennessee,Texas A&M,Colorado,UAB,Grand Canyon,McNeese St,Texas A&M,UAB,McNeese St,UAB
WeakSeed_MLPClassifier_avg_5,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,BYU,UAB,Mississippi St,Nevada,New Mexico,Grand Canyon,Utah St,Texas,South Carolina,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Morehead St,Grand Canyon,New Mexico,McNeese St,Creighton,James Madison,NC State,Washington St,New Mexico,Tennessee,NC State,New Mexico,Texas A&M,Texas A&M
Winner_MLPClassifier_avg_5,Connecticut,S Dakota St,Morehead St,Auburn,UAB,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Mississippi St,Montana St,Tennessee,Creighton,Samford,McNeese St,South Carolina,Texas,Utah St,Longwood,WKU,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Washington St,Morehead St,UAB,North Carolina,Arizona,New Mexico,Grand Canyon,Montana St,Tennessee,Creighton,McNeese St,Texas A&M,Colorado,NC State,James Madison,UAB,Washington St,Grand Canyon,New Mexico,McNeese St,Tennessee,Texas A&M,NC State,UAB,New Mexico,McNeese St,Texas A&M,UAB,Texas A&M,Texas A&M
StrongSeed_GaussianNB_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Akron,Kansas,Longwood,WKU,Kentucky,Vermont,Connecticut,Drake,North Carolina,Arizona,Purdue,Virginia,Longwood,Florida,Auburn,North Carolina,McNeese St,James Madison,Auburn,Akron,Auburn
WeakSeed_GaussianNB_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Oregon,McNeese St,Texas A&M,Florida,NC State,James Madison,Auburn,BYU,Grand Canyon,New Mexico,McNeese St,Akron,James Madison,NC State,BYU,New Mexico,Akron,Florida,North Carolina,James Madison,James Madison
Winner_GaussianNB_avg,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Texas A&M,Connecticut,Drake,BYU,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Virginia,Akron,McNeese St,Longwood,Florida,NC State,James Madison,Auburn,BYU,North Carolina,New Mexico,McNeese St,Akron,James Madison,Florida,Auburn,North Carolina,Akron,James Madison,Auburn,James Madison,Auburn
StrongSeed_DecisionTreeClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Morehead St,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Akron,Samford,Houston,Marquette,Oakland,Vermont,FL Atlantic,Drake,North Carolina,Arizona,TCU,Tennessee,Houston,Marquette,FL Atlantic,St Mary's CA,Samford,James Madison,BYU,Tennessee,St Mary's CA
WeakSeed_DecisionTreeClassifier_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Drake,BYU,San Diego St,Michigan St,Nevada,Clemson,St Mary's CA,TCU,Virginia,South Carolina,McNeese St,Nebraska,Florida,NC State,James Madison,San Diego St,BYU,St Mary's CA,Clemson,Samford,South Carolina,James Madison,NC State,BYU,Arizona,Tennessee,Marquette,St Mary's CA,James Madison,James Madison
Winner_DecisionTreeClassifier_avg,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,Clemson,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Florida,Nebraska,FL Atlantic,Drake,BYU,San Diego St,North Carolina,Arizona,Clemson,St Mary's CA,TCU,Tennessee,South Carolina,Samford,Houston,Marquette,NC State,James Madison,FL Atlantic,BYU,St Mary's CA,Arizona,Samford,Tennessee,James Madison,Marquette,BYU,St Mary's CA,Tennessee,James Madison,St Mary's CA,James Madison,St Mary's CA
StrongSeed_LogisticRegression_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,Iowa St,Morehead St,Auburn,Wagner,Long Beach St,Colgate,Col Charleston,Grambling,Tennessee,Akron,Kansas,Houston,Marquette,Oakland,Vermont,Connecticut,Iowa St,Wagner,Long Beach St,Utah St,Texas,Houston,Marquette,San Diego St,St Mary's CA,Gonzaga,Houston,San Diego St,Texas,St Mary's CA
WeakSeed_LogisticRegression_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Grambling,St Peter's,Akron,Samford,McNeese St,Oregon,Virginia,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,Northwestern,Washington St,Duquesne,San Diego St,Mississippi St,Nevada,Clemson,St Mary's CA,Utah St,Texas,Oregon,Gonzaga,Texas A&M,Boise St,NC State,Wisconsin,San Diego St,Morehead St,St Mary's CA,Colgate,Gonzaga,Oregon,Wisconsin,NC State,Iowa St,Long Beach St,Texas,NC State,St Mary's CA,NC State,Texas
Winner_LogisticRegression_avg,Connecticut,Iowa St,Morehead St,Auburn,San Diego St,Duquesne,Washington St,Northwestern,Wagner,Long Beach St,Colgate,Col Charleston,St Mary's CA,Clemson,Nevada,Mississippi St,Grambling,Tennessee,Akron,Kansas,Gonzaga,Oregon,Texas,Utah St,Houston,Marquette,Oakland,Vermont,Wisconsin,NC State,Boise St,Texas A&M,Connecticut,Iowa St,Morehead St,San Diego St,Wagner,Long Beach St,Colgate,St Mary's CA,Utah St,Texas,Oregon,Gonzaga,Houston,Marquette,NC State,Wisconsin,San Diego St,Iowa St,St Mary's CA,Long Beach St,Gonzaga,Texas,Houston,NC State,San Diego St,St Mary's CA,Texas,NC State,St Mary's CA,Texas,Texas
StrongSeed_RandomForestClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Auburn,North Carolina,Arizona,Colgate,Col Charleston,Purdue,Tennessee,Akron,Samford,Longwood,WKU,Kentucky,Vermont,FL Atlantic,Drake,North Carolina,Arizona,Purdue,Tennessee,Longwood,Colorado,Auburn,St Mary's CA,McNeese St,James Madison,Auburn,Tennessee,Arizona
WeakSeed_RandomForestClassifier_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,St Mary's CA,TCU,Colorado St,South Carolina,McNeese St,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,St Mary's CA,New Mexico,McNeese St,Akron,James Madison,Kentucky,Illinois,Arizona,Tennessee,Colorado,Arizona,James Madison,James Madison
Winner_RandomForestClassifier_avg,Connecticut,S Dakota St,Illinois,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Colorado St,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,Illinois,Auburn,North Carolina,Arizona,New Mexico,St Mary's CA,Purdue,Tennessee,Akron,McNeese St,Longwood,Colorado,Kentucky,James Madison,Auburn,Illinois,St Mary's CA,Arizona,McNeese St,Tennessee,James Madison,Colorado,Auburn,Arizona,Tennessee,James Madison,Arizona,James Madison,James Madison
StrongSeed_XGBClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Baylor,Alabama,St Mary's CA,Clemson,Dayton,Mississippi St,Purdue,Tennessee,Creighton,Kansas,Gonzaga,South Carolina,Texas,Utah St,Houston,Marquette,Kentucky,Duke,Wisconsin,Texas Tech,Florida,Nebraska,Connecticut,S Dakota St,Illinois,Auburn,North Carolina,Arizona,Colgate,Alabama,Purdue,Tennessee,Akron,Samford,Houston,WKU,Kentucky,Vermont,FL Atlantic,Drake,North Carolina,Arizona,Purdue,Tennessee,Texas A&M,Florida,Auburn,North Carolina,McNeese St,Texas A&M,Illinois,Tennessee,Arizona
WeakSeed_XGBClassifier_avg,Stetson,S Dakota St,Morehead St,Yale,UAB,Duquesne,Drake,Northwestern,Howard,Long Beach St,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Montana St,St Peter's,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Longwood,WKU,Oakland,Vermont,James Madison,NC State,Boise St,Texas A&M,FL Atlantic,Drake,BYU,San Diego St,Michigan St,Nevada,New Mexico,Grand Canyon,TCU,Colorado St,South Carolina,McNeese St,Texas A&M,Florida,NC State,James Madison,Auburn,Illinois,Alabama,New Mexico,McNeese St,Akron,James Madison,Kentucky,Illinois,Arizona,Tennessee,Florida,Arizona,Texas A&M,Texas A&M
Winner_XGBClassifier_avg,Connecticut,S Dakota St,Illinois,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Colorado St,TCU,Houston,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Texas A&M,FL Atlantic,Drake,Illinois,Auburn,North Carolina,Arizona,New Mexico,Alabama,Purdue,Tennessee,Akron,McNeese St,Texas A&M,Florida,Kentucky,James Madison,Auburn,Illinois,North Carolina,Arizona,McNeese St,Tennessee,Texas A&M,Florida,Illinois,Arizona,Tennessee,Texas A&M,Arizona,Texas A&M,Texas A&M
