Models,R1W1,R1W2,R1W3,R1W4,R1W5,R1W6,R1W7,R1W8,R1X1,R1X2,R1X3,R1X4,R1X5,R1X6,R1X7,R1X8,R1Y1,R1Y2,R1Y3,R1Y4,R1Y5,R1Y6,R1Y7,R1Y8,R1Z1,R1Z2,R1Z3,R1Z4,R1Z5,R1Z6,R1Z7,R1Z8,R2W1,R2W2,R2W3,R2W4,R2X1,R2X2,R2X3,R2X4,R2Y1,R2Y2,R2Y3,R2Y4,R2Z1,R2Z2,R2Z3,R2Z4,R3W1,R3W2,R3X1,R3X2,R3Y1,R3Y2,R3Z1,R3Z2,R4W1,R4X1,R4Y1,R4Z1,R5WX,R5YZ,R6CH,Accuracy
Winner_RandomForestClassifier_avg,Connecticut,S Dakota St,Illinois,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,St Mary's CA,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Colorado St,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Colorado,Texas A&M,FL Atlantic,Drake,Illinois,Auburn,North Carolina,Arizona,New Mexico,St Mary's CA,Purdue,Tennessee,Akron,McNeese St,Longwood,Colorado,Kentucky,James Madison,Auburn,Illinois,St Mary's CA,Arizona,McNeese St,Tennessee,James Madison,Colorado,Auburn,Arizona,Tennessee,James Madison,Arizona,James Madison,James Madison,0.317460317
Winner_XGBClassifier_avg,Connecticut,S Dakota St,Illinois,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Colorado St,TCU,Houston,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Texas A&M,FL Atlantic,Drake,Illinois,Auburn,North Carolina,Arizona,New Mexico,Alabama,Purdue,Tennessee,Akron,McNeese St,Texas A&M,Florida,Kentucky,James Madison,Auburn,Illinois,North Carolina,Arizona,McNeese St,Tennessee,Texas A&M,Florida,Illinois,Arizona,Tennessee,Texas A&M,Arizona,Texas A&M,Texas A&M,0.333333333
Winner_VotingClassifier_avg,Connecticut,S Dakota St,Morehead St,Auburn,San Diego St,BYU,Drake,FL Atlantic,North Carolina,Arizona,Colgate,Col Charleston,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Virginia,TCU,Longwood,WKU,Kentucky,Vermont,James Madison,NC State,Florida,Texas A&M,FL Atlantic,Drake,BYU,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,TCU,Virginia,Akron,McNeese St,Longwood,Florida,Kentucky,James Madison,Auburn,BYU,North Carolina,New Mexico,McNeese St,Akron,James Madison,Florida,Auburn,North Carolina,Akron,James Madison,Auburn,James Madison,James Madison,0.238095238
Winner_MLPClassifier_avg,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Washington St,FL Atlantic,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,South Carolina,Texas,Utah St,Houston,WKU,Oakland,Vermont,James Madison,NC State,Florida,Texas A&M,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Arizona,New Mexico,Alabama,Utah St,Tennessee,Akron,McNeese St,Houston,Florida,NC State,James Madison,Auburn,Illinois,North Carolina,New Mexico,McNeese St,Tennessee,James Madison,Florida,Auburn,North Carolina,Tennessee,James Madison,Auburn,James Madison,James Madison,0.492063492
Winner_GaussianNB_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Northwestern,Drake,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Boise St,Kentucky,James Madison,Auburn,Illinois,Alabama,Nevada,Kansas,Colorado St,Houston,Kentucky,Illinois,Nevada,Kansas,Houston,Illinois,Houston,Houston,0.428571429
Winner_LogisticRegression_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Boise St,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Texas A&M,Marquette,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Duke,Marquette,Iowa St,Alabama,Kansas,Marquette,Alabama,Kansas,Kansas,0.476190476
Winner_DecisionTreeClassifier_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,North Carolina,Arizona,New Mexico,Alabama,TCU,Tennessee,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Arizona,Kansas,Tennessee,Houston,NC State,Iowa St,Arizona,Kansas,Houston,Iowa St,Kansas,Kansas,0.492063492
Winner_RandomForestClassifier_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Iowa St,Houston,Houston,0.492063492
Winner_XGBClassifier_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Nevada,Houston,Nevada,0.507936508
Winner_VotingClassifier_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Colorado,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Colorado,Iowa St,Nevada,Kansas,Houston,Nevada,Houston,Houston,0.507936508
Winner_MLPClassifier_rating_rol10,Connecticut,Iowa St,Illinois,Auburn,UAB,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Oakland,Duke,James Madison,NC State,Boise St,Texas A&M,Northwestern,Iowa St,Illinois,Auburn,Michigan St,Nevada,New Mexico,Alabama,TCU,Colorado St,Oregon,Kansas,Houston,Marquette,NC State,Duke,Auburn,Iowa St,Alabama,Nevada,Kansas,Colorado St,Houston,Marquette,Iowa St,Alabama,Kansas,Houston,Iowa St,Houston,Iowa St,0.492063492
Winner_GaussianNB_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,San Diego St,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Colorado St,Creighton,Kansas,Houston,Marquette,Kentucky,James Madison,Connecticut,BYU,North Carolina,Arizona,Kansas,Creighton,Houston,Kentucky,Connecticut,Arizona,Kansas,Houston,Connecticut,Houston,Houston,0.444444444
Winner_DecisionTreeClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,Duquesne,Drake,Northwestern,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,Illinois,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Texas A&M,Colorado,NC State,James Madison,Auburn,Illinois,Grand Canyon,New Mexico,Kansas,Tennessee,Texas A&M,NC State,Illinois,Grand Canyon,Kansas,Texas A&M,Grand Canyon,Kansas,Kansas,0.523809524
Winner_LogisticRegression_avg_rating,Connecticut,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Arizona,Colgate,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Samford,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,BYU,Auburn,North Carolina,Arizona,New Mexico,Grand Canyon,Purdue,Colorado St,Oregon,McNeese St,Houston,Colorado,Kentucky,James Madison,Auburn,BYU,Grand Canyon,Arizona,Purdue,Colorado St,Houston,Kentucky,Auburn,Arizona,Purdue,Houston,Arizona,Purdue,Purdue,0.412698413
Winner_RandomForestClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Kentucky,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,BYU,San Diego St,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Creighton,Kansas,Houston,Marquette,Kentucky,James Madison,Connecticut,BYU,North Carolina,New Mexico,Kansas,Tennessee,Houston,Marquette,Connecticut,New Mexico,Tennessee,Houston,Connecticut,Houston,Houston,0.523809524
Winner_XGBClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,Duquesne,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Drake,Illinois,San Diego St,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,NC State,James Madison,San Diego St,Illinois,Grand Canyon,New Mexico,Kansas,Tennessee,Houston,Marquette,San Diego St,New Mexico,Tennessee,Houston,San Diego St,Houston,Houston,0.555555556
Winner_VotingClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,San Diego St,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Akron,Kansas,McNeese St,Oregon,Virginia,TCU,Houston,Marquette,Oakland,Vermont,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,BYU,San Diego St,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Tennessee,Oregon,Kansas,Houston,Marquette,NC State,James Madison,San Diego St,BYU,Grand Canyon,New Mexico,Kansas,Tennessee,Houston,Marquette,San Diego St,New Mexico,Tennessee,Houston,San Diego St,Houston,Houston,0.523809524
Winner_MLPClassifier_avg_rating,Connecticut,Iowa St,Illinois,Auburn,UAB,BYU,Drake,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,New Mexico,Nevada,Michigan St,Purdue,Tennessee,Creighton,Samford,McNeese St,Oregon,Colorado St,TCU,Houston,Marquette,Kentucky,Duke,James Madison,NC State,Boise St,Texas A&M,Connecticut,Drake,BYU,Auburn,North Carolina,Nevada,New Mexico,Grand Canyon,Purdue,Colorado St,Creighton,McNeese St,Houston,Boise St,Kentucky,James Madison,Auburn,BYU,Grand Canyon,New Mexico,Purdue,Colorado St,Houston,Kentucky,Auburn,New Mexico,Purdue,Houston,Auburn,Houston,Auburn,0.428571429
Winner_Actual,Connecticut,Iowa St,Illinois,Yale,San Diego St,Duquesne,Washington St,Northwestern,North Carolina,Arizona,Baylor,Alabama,Grand Canyon,Clemson,Dayton,Michigan St,Purdue,Tennessee,Ceighton,Kansas,Gonzaga,Oregon,Texas,Utah St,Houston,Marquette,Oakland,Duke,James Madison,NC State,Colorado,Texas A&M,Connecticut,Iowa St,Illinois,Yale,North Carolina,Nevada,Clemson,Alabama,Purdue,Tennessee,Ceighton,Gonzaga,Houston,Marquette,NC State,Duke,Connecticut,Illinois,Alabama,New Mexico,Purdue,Tennessee,James Madison,Colorado,Connecticut,St Mary's CA,Purdue,NC State,Connecticut,Purdue,Connecticut,1
